"A) KAMPÁNY – név + beállítás","B) HIRDETÉSSOROZAT – név + célzás/beállítás","C) HIRDETÉS – név","D) Formátum","E) Angle / csomag","F) Headline javaslat","G) Hirdetési szöveg – Primary (javaslat)","H) Ár-blokk / kupon","I) CTA","J) KPI / megjegyzés"
"","","Szerelmesek – statikus v3","statikus 1:1","Szerelmesek / párok","Szerelmesek csomagja a Balaton partján","3 nap/2 éj kettesben: kerti jakuzzi, szauna, svédasztalos reggeli. Névre szóló ajándékutalvánnyal is kérheted.","119.700 → 69.900 Ft","Ajándékozz élményt","kreatív-rotáció"
"","","Szerelmesek – Story/Reels 9:16","statikus 9:16","Szerelmesek / párok","Szerelmesek csomagja – 69.900 Ft","Kettesben a Balaton partján, jakuzzival és reggelivel. Az élmény mindig jó ajándék.","119.700 → 69.900 Ft","Ajándékozz élményt","Story"
"","4) Broad / Advantage+ | HU, 25–55 | nincs részletes érdeklődés (Advantage+ Audience) | napi ~3.500 Ft","Broad – Deluxe 99e nyerő","statikus 1:1","Deluxe / párok","Deluxe lakosztály – nyári kettesbeszökés 99.900 Ft-ért","Balatonra néző Deluxe lakosztály, privát jakuzzival és félpanzióval. Foglalj most a nyári időpontokra!","235.900 → 99.900 Ft","Foglalj most","broad ROAS 4,95 – skálázó"
"","","Broad – Penthouse","statikus 1:1","Penthouse / párok","Penthouse privát jakuzzival – kettesben a Balaton felett","Saját panoráma jakuzzi, félpanzió, közvetlen vízpart. Nyári kettesbeszökés – foglalj most!","255.300 → 119.900 Ft","Foglalj most","top statik rotáció"
"","","Broad – Szerelmesek","statikus 1:1","Szerelmesek / ajándék","Szerelmesek csomagja – az élmény mindig jó ajándék","Kettesben a Balaton partján, jakuzzival és reggelivel. Névre szóló ajándékutalvánnyal.","119.700 → 69.900 Ft","Ajándékozz élményt","top statik rotáció"
"","5) LAL vásárlók 1–3% | HU | Lookalike a Purchase-vásárlókból | napi ~2.500 Ft","LAL – Deluxe 99e","statikus 1:1","Deluxe / párok","Deluxe lakosztály – 99.900 Ft, nyári kettesbeszökés","Balatonra néző Deluxe lakosztály privát jakuzzival. A vásárlóinkhoz hasonló nyaralóknak. Foglalj most!","235.900 → 99.900 Ft","Foglalj most","hideg feltöltés jó forrásból"
"","","LAL – Penthouse","statikus 1:1","Penthouse / párok","Penthouse privát jakuzzival a Balaton felett","Kettesben, saját panoráma jakuzzival és félpanzióval. Foglalj most a nyári időpontokra!","255.300 → 119.900 Ft","Foglald le kettesben","LAL rotáció"
"NY-SUM — Nyári nyaralás | Objective: VÁSÁRLÁS (ill. LPV a hideg feltöltésen) | CBO | Attrib 7/1 | Placement Advantage+ | Keret: 20% (~120.000 Ft/hó) | Megj.: szezonális nyaralás-igény, saját strand angle","1) HU nyaralás-interest | HU, 27–55 | érdeklődés: Balaton, nyaralás, wellness, családi nyaralás | napi ~1.500 Ft","Nyári apartman – saját strand v1","statikus 1:1","Nyári apartman / vízpart","Balatoni nyaralás Siófokon privát partszakasszal","Nyár van, a Balaton pedig akkor az igazi, ha nem kell strandot keresni. Foglalj pihenést Siófokon, közvetlen vízparti környezetben, saját partszakasszal.","kupon: ROYAL5 (5% közvetlen foglalás)","Foglalj most","szezonális réteg"
"","","Nyári apartman – privát strand v2","statikus 1:1","Nyári apartman / család","A strand a lábad előtt – közvetlen Balaton-parti nyaralás","Ébredj a víz hangjára, reggelizz a parton, a gyerekek a saját strandon pancsolnak. A Royal Mediterran közvetlenül a Balaton partján vár.","kupon: ROYAL5","Foglalj nyári helyet","család/vízpart"
"","","Nyári apartman – Story 9:16","statikus 9:16","Nyári apartman / vízpart","Balatoni nyaralás saját partszakasszal","Közvetlen vízpart, saját strand, privát wellness Siófokon. Foglalj nyári helyet, míg van!","kupon: ROYAL5","Foglalj most","Story"
"","2) Geo – Siófok +15km | HU, 15km rádiusz Siófok körül | 25–55 | napi ~1.000 Ft","Szabad hely – sürgetés v1","statikus 1:1","Szabad kapacitás / sürgetés","Még foglalhatóak nyári időpontok","Még nincs meg a nyári szállás? Nézd meg az aktuális balatoni ajánlatokat, és foglalj vízparti pihenést Siófokon, mielőtt elfogynak a jobb időpontok.","kupon: ROYAL5","Foglalj most","'csak szabad kapacitásra' szabály"
"","","Nyári apartman – helyi közeli v2","statikus 1:1","Nyári apartman / vízpart","Balaton, ahogy nyáron kell – Siófok","Privát partszakasz, balatoni wellness, hajózás és siófoki hangulat vár a Royal Mediterrannál.","kupon: ROYAL5","Foglalj most","közeli/utazó célzás"
"","3) Geo – Budapest catchment | HU, Budapest + agglo (fő küldő-piac) | 27–55 | napi ~1.500 Ft","Nyári apartman – BP v1","statikus 1:1","Nyári apartman / vízpart","1,5 óra Budapesttől – Balaton-parti nyaralás saját stranddal","Itt a nyár – irány a Balaton! Közvetlen vízparti apartman Siófokon, saját stranddal és privát wellnesszel, alig 1,5 órára Budapesttől.","kupon: ROYAL5","Foglalj most","BP a fő küldő-piac"
"","","Penthouse – BP párok v2","statikus 1:1","Penthouse / párok","Nyári romantika a Balatonon – 1,5 óra Budapesttől","Kettesben a Balaton felett, privát jakuzzival. Szökj el a városból egy nyári hétvégére!","255.300 → 119.900 Ft","Foglald le kettesben","BP párok"
"","4) Ide utazók – Balatonra utazók | HU, utazási szándék Balaton | napi ~1.000 Ft","Nyári apartman – utazók v1","statikus 1:1","Nyári apartman / vízpart","Balatonra készülsz? Foglalj közvetlen vízparti szállást","Stell dir vor... – ide most magyar: Foglalj vízparti nyaralást Siófokon, saját partszakasszal, mielőtt betelnek a nyári időpontok.","kupon: ROYAL5","Foglalj most","utazási szándék célzás"
"NY-BOF — Remarketing | Objective: VÁSÁRLÁS | CBO | Attrib 7/1 | Keret: 18% (~108.000 Ft/hó) | csak MELEG közönség | Megj.: legjobb hatékonyság","1) Csomag-oldal látogatók 30–90 nap | a látogatott csomag szerint (szerelmesek/romantika/penthouse/utalvány) | napi ~1.500 Ft","RM – látogatott csomag ár-blokk","statikus 1:1 / dinamikus","a látogatott csomag","Ott hagytad? A nyári helyek gyorsan telnek","Visszavárunk a Balaton partjára! A megnézett csomagod még foglalható – foglald le, míg van szabad nyári időpont.","a látogatott csomag akciós ára","Fejezd be a foglalást","meleg közönség, cél ROAS ≥6"
"","","RM – Penthouse emlékeztető","statikus 1:1","Penthouse / párok","Penthouse privát jakuzzival – még foglalható","Már nézted a Penthouse-t? Ne hagyd az utolsó pillanatra – a nyári hétvégék gyorsan telnek.","255.300 → 119.900 Ft","Foglald le kettesben","RM"
"","2) Checkout-elhagyók | InitiateCheckout de nem Purchase, 7–14 nap | napi ~1.000 Ft","RM – checkout sürgetés","statikus 1:1","a félbehagyott csomag","Csak egy lépés a nyári szökésetek","Majdnem kész! Fejezd be a foglalást, és jövő héten már a Balaton partján ébredtek. Szabad hely még van – de gyorsan fogy.","a csomag akciós ára + érvényesség","Fejezd be a foglalást","legmelegebb közönség"
"","3) MailerLite lista LAL + videónézők 25%+ | egyedi közönség + LAL | napi ~1.000 Ft","RM – hírlevél/videónéző","statikus 1:1","top csomag (Deluxe/Szerelmesek)","Neked, aki már ismersz minket – nyári ajánlat","A hírleveleinkből már ismersz – itt a nyári kedvenc: Deluxe/Szerelmesek csomag a Balaton partján, kettesben.","Deluxe 99.900 / Szerelmesek 69.900","Foglalj most","lista-alapú RM"
"NY-EXP — Hajós élmény (upsell) | Objective: VÁSÁRLÁS | CBO | Keret: 10% (~60.000 Ft/hó) | Megj.: külön termékvonal-érzet, upsell a szálláshoz","1) Párok/családok interest | HU, 25–55 | érdeklődés: Balaton, hajózás, élmény | napi ~1.000 Ft","Hajós piknik – statikus v1","statikus 1:1","Piknik / hajós","Hajós piknik a Balatonon","Naplemente, Balaton, kettesben vagy barátokkal a vízen. Foglalj elektromos hajót, és kérj hozzá italcsomagot is – jogosítvány nélkül vezethető.","52.900 → 25.900 Ft (Deluxe hajó)","Szállj hajóra","Piknik ad-level ROAS ~3"
"","","Legyél te a kapitány – statikus v2","statikus 1:1","Kapitány / hajós","Legyél te a kapitány!","Próbáld ki, milyen érzés kapitányként felfedezni a Balatont! Jogosítvány nélkül vezethető elektromos hajó – kérd az extra piknik kosarat mellé.","kupon: HAJO20 (hétfő–csüt.)","Foglalj hajót","élmény/upsell"
"","2) Csomag-oldal RM (hajós/piknik nézők) | egyedi közönség | napi ~500 Ft","Hajós piknik – RM v3","statikus 1:1","Piknik / hajós","Még nem foglaltad a hajós piknikedet?","A legjobb nyári naplementés idősávok gyorsan betelnek – foglald le a balatoni hajós pikniket időben.","52.900 → 25.900 Ft","Szállj hajóra","meleg közönség"
"NY-DE — DE teszt (capelt) | Objective: VÁSÁRLÁS (NEM Lead!) | CBO | Keret: 5% (~30.000 Ft/hó) | CPA-küszöb: >20.000 Ft → kilövés | Megj.: a DE lead-gen NEM térült (161.564 Ft/lead) → Purchase-teszt","1) DE/AT nyaralás-interest | DE/AT, 30–60 | érdeklődés: Plattensee/Balaton, Ungarn Urlaub, Wellness | natív német kreatív | napi ~1.000 Ft","DE – Sommer Apartment v1","statikus 1:1","Nyári apartman / DE","Direkt am Ufer des Balaton – Urlaub mit eigenem Strand","Erwache mit dem Klang der Wellen, frühstücke am Wasser, während die Kinder am eigenen Strand spielen. Das Royal Mediterran erwartet dich direkt am Balaton – eigener Strand, private Wellness. Buche jetzt!","kupon: ROYAL5","Jetzt buchen","natív DE, nem tükörfordítás"
"","","DE – Sommer Apartment v2","statikus 1:1","Nyári apartman / DE","Entspannung direkt am Balaton – Royal Mediterran Aparthotel","Genieße den Familienurlaub direkt am Ufer des Balaton: geräumige Apartments, eigener Strand und private Wellness. Buche jetzt deinen Sommerplatz!","kupon: ROYAL5","Jetzt buchen","A/B, kilövés ha CPA magas"
"","","DE – Penthouse Paare v3","statikus 1:1","Penthouse / DE párok","Romantik über dem Balaton – Penthouse mit privatem Whirlpool","Zu zweit über dem Balaton, mit eigenem Panorama-Whirlpool und Halbpension. Buche jetzt euren Sommerurlaub!","255.300 → 119.900 Ft","Jetzt buchen","DE párok teszt"
