Kategória,Mező,Érték (nézd át / töltsd ki),Státusz,Megjegyzés
"E) ARCULAT","Hangvétel","meleg, érzelmi, élményközpontú, prémium de elérhető","✅",""
"E) ARCULAT","Megszólítás","tegező","✅",""
"E) ARCULAT","Emoji","mérsékelt","✅",""
"E) ARCULAT","Fő szín (HEX)","","❓","logóból/brandbookból"
"E) ARCULAT","Másodlagos szín (HEX)","","❓",""
"E) ARCULAT","Akció-kiemelő szín","piros (áthúzott ár)","✅",""
"E) ARCULAT","Betűtípus(ok)","","❓",""
"E) ARCULAT","Logó (Drive)","https://drive.google.com/drive/folders/17l-y26ycZyVK3R7p5sZmMW_3oH7icJCM","✅","Logó Vektoros mappa"
"E) ARCULAT","Fotóstílus","napfényes, életszerű, vízparti; romantikus jakuzzi/terasz; Balaton panoráma","✅",""
"E) ARCULAT","Ár-blokk konvenció","áthúzott normál ár (PIROS) + nagy akciós ár + Ft megtakarítás + érvényesség kiemelve","✅","a 'szokásos koncepció'"
"E) ARCULAT","Kedvezmény megjelenítés","forintosított + százalékos + /fő/éj bontás","✅",""
"E) ARCULAT","Sürgetés-elemek","Csak Ma ár; UTOLSÓ NAP; érvényességi dátum; limitált darabszám","✅",""
"E) ARCULAT","Kreatív formátumok / kampány","1 statikus + 1 AI mozgó videó + 1 beszélős AI videó","✅",""
"E) ARCULAT","Kupon-stílus","ékezet nélkül, NAGYBETŰVEL","✅",""
"E) ARCULAT","Szlogen / visszatérő fordulat","'a strand a lábad előtt'; 'az élmény mindig jó ajándék'","✅",""
"E) ARCULAT","Brandbook","","❓","van formális brandbook? (a mappában most nincs)"
"F) TILTÁS","Tiltott ígéretek","","❓","jogi/egészségügyi tiltások?"
"F) TILTÁS","Kötelező feltüntetés","akció érvényessége mindig szerepel + kiemelve","⚠️","van más kötelező elem (ÁSZF, illusztráció)?"
"F) TILTÁS","Meta óvatosság","kerüld a személyes tulajdonságra célzó szöveget ('te, aki…')","⚠️","korábbi elfogadás/mérés feladat alapján"
"F) TILTÁS","Google óvatosság","ne csupa nagybetűs headline","⚠️",""
"F) TILTÁS","Készlet-szabály","csak szabad kapacitásra hirdetünk (SabeeApp egyeztetés)","✅",""
"G) TELJESÍTMÉNY","Legjobb kampány valaha","Black Week (bevált tavalyi grafikák újrahasznosítása)","⚠️","erősítsd meg számokkal"
"G) TELJESÍTMÉNY","Legjobb konvertáló angle","romantika / privát jakuzzi (párok szegmens)","⚠️","export erősítené meg"
"G) TELJESÍTMÉNY","Legjobb csomag","Penthouse / Szerelmesek csomagja","⚠️",""
"G) TELJESÍTMÉNY","Szezonális naptár","Red Week(feb) · Pink Weekend(márc) · tavaszi last minute · nyári főszezon(jún-aug) · Black Week(nov 7-17) · Black Weekend(nov 27-30) · Mikulás(dec 5-6) · Karácsony(dec 19-24) · last minute téli","✅","valós kampány-történetből"
"G) TELJESÍTMÉNY","Meta vs Google","","❓","export kell a bontáshoz"
"G) TELJESÍTMÉNY","Ad adat vs valós bevétel","SabeeApp (PMS) foglalással vetjük össze","⚠️","volt mérési eltérés-gyanú"
"G) TELJESÍTMÉNY","Kockázat / kudarc","dec 24-27 készletet előre foglalni; mérési eltérés figyelése","✅",""
"H) ESZKÖZ","Kreatívok mappa (Drive)","https://drive.google.com/drive/folders/1CvsjBXI8qObpLpgPxcDWapIFYpD-_EjO","✅","korábbi kampány-vizuálok"
"H) ESZKÖZ","Hirdetési szövegek (Drive)","https://drive.google.com/file/d/1uXlIL63phm0Y6rSanHFiISaDWJT907kg/view","✅","Royal Mediterran hirdetések.xlsx (HU/DE)"
"H) ESZKÖZ","Top social posztok","","❓","mely posztok mentek a legjobban? (linkek)"
"H) ESZKÖZ","Egyéb felhasználható anyag","","❓","videó, vélemény, sajtó?"
